Symbol,Description,Price,Price - Currency,Price Change % 1 day,Performance % 1 week,Performance % 1 month,Performance % 3 months,Performance % 6 months,Performance % Year to date,Performance % 1 year,Performance % 5 years,Performance % 10 years,Performance % All Time,Volatility 1 week,Volatility 1 month,Simple Moving Average (50) 1 day,Simple Moving Average (200) 1 day,"Earnings per share basic, Annual","Earnings per share basic, Annual - Currency","Earnings per share diluted, Annual","Earnings per share diluted, Annual - Currency","EBITDA, Annual","EBITDA, Annual - Currency","Gross profit, Annual","Gross profit, Annual - Currency","Net income, Annual","Net income, Annual - Currency","Free cash flow, Annual","Free cash flow, Annual - Currency","Debt to revenue ratio, Annual","Debt to equity ratio, Annual",Market capitalization,Market capitalization - Currency,"Dividends per share, Annual","Dividends per share, Annual - Currency",Beta 5 years,Sector,Index,Analyst Rating,Country or region of registration,"Fiscal period end date, Annual",Industry,Volatility 1 day
NVDA,NVIDIA Corporation,178.1,USD,0.25895068678226074,6.665868120021558,-0.9675266903914641,-5.552314790263563,-7.34815970867473,-6.181684094081709,103.63594786187973,1149.5834137271754,19928.11357885859,406983.8533309562,1.9607417260000382,2.5541529653848745,182.3155999999998,180.1484,4.9291,USD,4.8979,USD,133230000000,USD,153463000000,USD,120067000000,USD,83676000000,USD,0.05284850281099204,0.07255249756823251,4327830148315.0005,USD,0.04,USD,2.3347187,Electronic technology,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Strong buy,United States,2026-01-31,Semiconductors,2.6315789473684172
AAPL,Apple Inc.,253.5,USD,-2.0706173221046176,2.254850550603043,-1.9835285929706514,-3.6854103343465003,-1.6698667597602865,-6.888762373510127,43.058690744921,96.58782473827067,822.237380627558,197409.89497304204,2.2862843502521555,2.0765623465428282,260.68240000000003,249.7491,7.4931,USD,7.465,USD,144748000000,USD,195201000000,USD,112010000000,USD,98767000000,USD,0.2700325114559029,1.5241072518410999,3721668900879,USD,1.02,USD,1.1087966,Electronic technology,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Buy,United States,2025-09-30,Telecommunications equipment,5.356125356125366
GOOG,Alphabet Inc.,303.93,USD,2.106430155210637,9.508539309649054,2.6540841416952645,-3.3823950154178677,24.022688321227456,-4.301142983091397,111.9603877536788,166.84401833219198,715.5144424916483,973.0658150210785,2.296180033771504,2.2605720678123893,309.02279999999996,266.72080000000005,10.9087,USD,10.807,USD,153801000000,USD,240427000000,USD,132170000000,USD,73266000000,USD,0.16625885319211242,0.16133312463126,3686829383270,USD,0.83,USD,1.1347845,Technology services,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Strong buy,United States,2025-12-31,Internet software/Services,2.9364474909029403
MSFT,Microsoft Corporation,372.29,USD,-0.15822784810125912,2.12316554656426,-9.020039100684254,-22.399974987233062,-28.725817722342942,-23.141715783932195,6.101801185590523,47.28409225778376,578.494623655914,382823.7937525072,1.5235263002335595,1.831237759899731,400.1682000000003,475.8495000000003,13.7,USD,13.6413,USD,162681000000,USD,193893000000,USD,101832000000,USD,71611000000,USD,0.39820533571864664,0.326610942735946,2764487448958.9995,USD,3.32,USD,1.1076483,Technology services,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Information Technology, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, ISE CTA Cloud Computing, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Dow Jones Composite Average, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Strong buy,United States,2025-06-30,Packaged software,1.7241379310344809
AMZN,"Amazon.com, Inc.",213.77,USD,0.46054795808074545,4.356952817984335,-0.5674682543374104,-10.7841909770043,-4.988999755550121,-7.59488199187343,31.956790123456795,29.131051979824232,614.0423541986773,175302.46484073717,2.217657809087613,2.171465004685742,214.05920000000017,224.54569999999995,7.2888,USD,7.1737,USD,150370000000,USD,360510000000,USD,77670000000,USD,7695000000,USD,0.23703209824193358,0.413399340736866,2294804086324,USD,0,USD,1.3833811,Retail trade,"S&P 500, NASDAQ 100, Dow Jones Industrial Average, NASDAQ Composite, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, NASDAQ Industrials, ISE CTA Cloud Computing, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Strong buy,United States,2025-12-31,Internet retail,2.341265096257329
2222,Saudi Arabian Oil Co.,26.98,SAR,-1.9622093023255782,-1.8909090909090893,-1.172161172161173,14.41899915182359,8.484117410534779,13.21863197650022,5.596868884540116,-8.200049652885077,-7.287271299480454,-7.287271299480454,1.0174224687406868,1.1836819754093828,26.228000000000044,24.914349999999995,0.38303518000000003,USD,0.38303518000000003,USD,221568375600,USD,220255477200,USD,92648780400,USD,84280251000,USD,0.2175778660175538,0.243711779388149,1770170177401.446,USD,0.35481798,USD,0.59700376,Energy minerals,"Tadawul All Shares, Tadawul Energy",Buy,Saudi Arabia,2025-12-31,Integrated oil,3.3809166040570946
AVGO,Broadcom Inc.,333.97,USD,6.214419743663143,11.550151975683905,1.7332764713050004,-2.2622183201638753,-3.4070860448300717,-5.330593154276792,131.13710291369645,584.3928029837289,2020.7137414274832,20140.606060606067,2.6523681957670484,3.4619425942003264,324.8886999999996,328.5851750000001,4.9079,USD,4.7653,USD,34926000000,USD,41339000000,USD,23126000000,USD,26914000000,USD,1.0402898868314367,0.817558923387295,1581237067303,USD,2.36,USD,1.252881,Electronic technology,"S&P 500, NASDAQ 100, NASDAQ Composite, PHLX Semiconductor Sector, S&P 500 Information Technology, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Strong buy,United States,2025-10-31,Semiconductors,6.1280298321939
2330,"Taiwan Semiconductor Manufacturing Co., Ltd.",1950,TWD,4.838709677419355,5.978260869565218,9.859154929577464,17.46987951807229,35.416666666666664,25.40192926045016,144.66750313676286,221.78217821782178,1166.2337662337663,46847.452558997305,1.5518529842199333,2.1419030975039517,1838.3000000000015,1441.549999999999,2.111221948,USD,2.111037131,USD,83603701653.42499,USD,71268402659.98999,USD,54740329909.354996,USD,34347104291.239994,USD,0.2804936973079705,0.197139365587921,1511331387772.9688,USD,0.7010320712249999,USD,1.4105784,Electronic technology,"FTSE TWSE Taiwan 50, STOXX Emerging Markets 1500, STOXX Asia 100, STOXX Global 200, STOXX East Asia 1800, STOXX East Asia 1800 ex Japan, STOXX Emerging Markets 50",Strong buy,Taiwan,2025-12-31,Semiconductors,4.675324675324675
META,"Meta Platforms, Inc.",575.05,USD,0.3542633764964526,4.558347576275489,-11.244019138755984,-12.291806479165402,-19.940134349657168,-13.229469236862963,18.542568542568528,82.64252818802602,411.29190006223877,1267.5386444708681,2.2593252106235355,2.5928245805256482,636.4758000000002,683.8261250000005,23.9818,USD,23.488,USD,101892000000,USD,164791000000,USD,60458000000,USD,46109000000,USD,0.42336017037707874,0.391639776655635,1454620830860.0002,USD,2.1,USD,1.3095027,Technology services,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Communication Services, S&P 500 ESG, Nasdaq US Large Cap Growth, NASDAQ Computer, NASDAQ-100 Technology Sector, NASDAQ CB Insights Metaverse US, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Strong buy,United States,2025-12-31,Internet software/Services,1.8529995042141851
TSLA,"Tesla, Inc.",346.65,USD,-1.7487670766963368,-4.110536361373133,-12.921701122861665,-20.474879559532003,-19.721636831013644,-24.27916120576672,54.90660470104566,53.525500964176075,1851.493741371262,27267.14127255431,3.430520346027056,3.1461273408322663,399.50049999999965,397.2210250000003,1.1764,USD,1.0754,USD,10997000000,USD,17094000000,USD,3794000000,USD,6220000000,USD,0.1552195049933036,0.179200603869145,1300780489951,USD,0,USD,1.91565,Consumer durables,"S&P 500, NASDAQ 100, NASDAQ Composite, S&P 500 Consumer Discretionary, Nasdaq US Large Cap Growth, NASDAQ Industrials, NASDAQ Clean Edge Green Energy, S&P 100, Russell 3000, Russell 1000, STOXX Global 1800, STOXX North America 600, STOXX USA 500, STOXX Global 1800 ex Asia/Pacific, STOXX Global 1800 ex Europe, STOXX Global 150, STOXX North America 50, STOXX Americas 100, STOXX Global 200, STOXX Developed Markets 150, STOXX Developed Markets 2400, STOXX USA 500",Neutral,United States,2025-12-31,Motor vehicles,4.619855295931676
