Ticker,Name,Sector,Group,Exchange,Provider
^GSPC,S&P 500 Index,Broad Market,Index,US,
^FTSE,FTSE 100 Index,Broad Market,Index,UK,
^HSI,Hang Seng Index,Broad Market,Index,HK,
^N225,Nikkei 225 Index,Broad Market,Index,JP,
XLK,Technology Select Sector SPDR Fund,Technology,SectorETFs,US,SPDR
XLV,Health Care Select Sector SPDR Fund,Health Care,SectorETFs,US,SPDR
XLF,Financial Select Sector SPDR Fund,Financials,SectorETFs,US,SPDR
XLY,Consumer Discretionary Select Sector SPDR Fund,Consumer Discretionary,SectorETFs,US,SPDR
XLP,Consumer Staples Select Sector SPDR Fund,Consumer Staples,SectorETFs,US,SPDR
XLE,Energy Select Sector SPDR Fund,Energy,SectorETFs,US,SPDR
XLI,Industrial Select Sector SPDR Fund,Industrials,SectorETFs,US,SPDR
XLU,Utilities Select Sector SPDR Fund,Utilities,SectorETFs,US,SPDR
XLB,Materials Select Sector SPDR Fund,Materials,SectorETFs,US,SPDR
XLRE,Real Estate Select Sector SPDR Fund,Real Estate,SectorETFs,US,SPDR
XLC,Communication Services Select Sector SPDR Fund,Communication Services,SectorETFs,US,SPDR
VGT,Vanguard Information Technology ETF,Technology,SectorETFs,US,Vanguard
VHT,Vanguard Health Care ETF,Health Care,SectorETFs,US,Vanguard
VFH,Vanguard Financials ETF,Financials,SectorETFs,US,Vanguard
VCR,Vanguard Consumer Discretionary ETF,Consumer Discretionary,SectorETFs,US,Vanguard
VDE,Vanguard Energy ETF,Energy,SectorETFs,US,Vanguard
VIS,Vanguard Industrials ETF,Industrials,SectorETFs,US,Vanguard
VPU,Vanguard Utilities ETF,Utilities,SectorETFs,US,Vanguard
VAW,Vanguard Materials ETF,Materials,SectorETFs,US,Vanguard
VNQ,Vanguard Real Estate ETF,Real Estate,SectorETFs,US,Vanguard
IYW,iShares U.S. Technology ETF,Technology,SectorETFs,US,iShares
IYH,iShares U.S. Healthcare ETF,Health Care,SectorETFs,US,iShares
IYF,iShares U.S. Financials ETF,Financials,SectorETFs,US,iShares
IYC,iShares U.S. Consumer Discretionary ETF,Consumer Discretionary,SectorETFs,US,iShares
IYE,iShares U.S. Energy ETF,Energy,SectorETFs,US,iShares
IYJ,iShares U.S. Industrials ETF,Industrials,SectorETFs,US,iShares
IDU,iShares U.S. Utilities ETF,Utilities,SectorETFs,US,iShares
IYM,iShares U.S. Basic Materials ETF,Materials,SectorETFs,US,iShares
IYR,iShares U.S. Real Estate ETF,Real Estate,SectorETFs,US,iShares
A,,,SP500,US,
AAL,,,SP500,US,
AAPL,,,SP500,US,
ABBV,,,SP500,US,
ABNB,,,SP500,US,
ABT,,,SP500,US,
ACGL,,,SP500,US,
ACI,,,SP500,US,
ACN,,,SP500,US,
ADBE,,,SP500,US,
ADI,,,SP500,US,
ADM,,,SP500,US,
ADP,,,SP500,US,
ADSK,,,SP500,US,
AEE,,,SP500,US,
AEP,,,SP500,US,
AES,,,SP500,US,
AFL,,,SP500,US,
AIG,,,SP500,US,
AIZ,,,SP500,US,
AJG,,,SP500,US,
AKAM,,,SP500,US,
ALB,,,SP500,US,
ALGN,,,SP500,US,
ALL,,,SP500,US,
ALLE,,,SP500,US,
AMAT,,,SP500,US,
AMCR,,,SP500,US,
AMD,,,SP500,US,
AME,,,SP500,US,
AMGN,,,SP500,US,
AMP,,,SP500,US,
AMT,,,SP500,US,
AMZN,,,SP500,US,
ANET,,,SP500,US,
AON,,,SP500,US,
AOS,,,SP500,US,
APA,,,SP500,US,
